life expectancy at birth,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,28.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.674,26.932,27.448,27.964,28.48,28.995,29.511,30.027,30.543,31.059,31.575,32.091,32.608,33.124,33.639,34.152,34.662,35.17,35.674,36.172,36.663,37.143,37.614,38.075,38.529,38.977,39.417,39.855,40.298,40.756,41.242,41.77,42.347,42.977,43.661,44.4,45.192,46.024,46.88,47.744,48.601,49.439,50.247,51.017,51.738,52.4,52.995,53.527,54.009,54.449,54.863,55.271,55.687,56.122,56.583,57.071,57.582,58.102,58.618,59.124,59.612,60.079,60.524
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,,,,,,,,,,,,,,,,,,,,,54.191,54.399,54.876,55.471,56.184,57.012,57.947,58.976,60.073,61.196,62.293,63.313,64.202,64.926,65.475,65.863,66.122,66.316,66.5,66.702,66.948,67.251,67.595,67.966,68.356,68.748,69.121,69.459,69.753,70.001,70.218,70.426,70.646,70.886,71.144,71.398,71.615,71.77,71.853,71.87,71.842,71.799,71.779,71.813,71.92,72.117,72.415,72.796,73.235,73.713,74.2,74.664,75.081,75.437,75.725,75.949,76.124,76.278,76.433,76.598,76.78,76.979,77.185
Algeria,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8224,,,,,,,,,,31.22,,,,,,,,33.72,,33.72,,33.72,,,,,42.089,42.283,42.678,43.081,43.493,43.914,44.345,44.783,45.229,45.681,46.136,46.594,47.051,47.505,47.953,48.389,48.806,49.205,49.592,49.976,50.366,50.767,51.195,51.67,52.213,52.861,53.656,54.605,55.697,56.907,58.198,59.524,60.826,62.051,63.16,64.12,64.911,65.554,66.072,66.479,66.796,67.049,67.265,67.468,67.674,67.893,68.123,68.35,68.565,68.769,68.963,69.149,69.33,69.508,69.682,69.854,70.02,70.18,70.332,70.477,70.615,70.747,70.874
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,26.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.98,,,,,,,,,,29.209,29.407,29.804,30.201,30.599,30.997,31.396,31.796,32.196,32.597,32.998,33.399,33.801,34.203,34.604,35.007,35.41,35.816,36.222,36.627,37.032,37.439,37.846,38.247,38.635,38.998,39.324,39.605,39.84,40.029,40.182,40.311,40.429,40.547,40.671,40.794,40.902,40.988,41.05,41.1,41.151,41.221,41.329,41.495,41.736,42.073,42.526,43.088,43.742,44.468,45.234,46.004,46.743,47.425,48.036,48.572,49.041,49.471,49.882,50.286,50.689,51.094,51.498
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.536,57.786,58.284,58.779,59.271,59.759,60.243,60.722,61.196,61.661,62.114,62.555,62.979,63.386,63.775,64.149,64.511,64.865,65.213,65.558,65.898,66.232,66.558,66.875,67.181,67.479,67.768,68.051,68.328,68.602,68.873,69.141,69.408,69.671,69.931,70.186,70.435,70.675,70.907,71.132,71.351,71.568,71.783,72,72.219,72.441,72.664,72.888,73.11,73.329,73.544,73.755,73.96,74.16,74.355,74.544,74.729,74.91,75.087,75.263,75.437,75.61,75.783
